Member,Format,Race/ethnicity,Gender,,Net Promoter Score (NPS),NPS_GROUP,,Objectives - Compensation,Objectives - Building my resume,Objectives - Learning about a career,Objectives - Learning about the employer,Objectives - Building new skillsets,Objectives - Building a network,Objectives - Doing interesting work,Objectives - Improving my social life,Objectives - Building peer relationships,Objectives - Building mentor relationships,Objectives - Securing full-time employment,,Drivers to apply - Compensation,Drivers to apply - Building my resume,Drivers to apply - Learning about a career,Drivers to apply - Learning about the employer,Drivers to apply - Building new skillsets,Drivers to apply - Building a network,Drivers to apply - Doing interesting work,Drivers to apply - Improving my social life,Drivers to apply - Building peer relationships,Drivers to apply - Building mentor relationships,Drivers to apply - Securing full-time employment
Q: Where did you intern this summer?,"Q: Is your internship remote/virtual, in-person, or some combination of the two?",Q: What is your race/ethnicity? Please select all that apply.,Q: Which of the following best describes your gender identity?,,"Q: On a scale from 0-10, how likely are you to recommend an internship with [Field-Member] to an interested friend or peer?",,,Q: How well did your summer internship perform on the following objectives?,,,,,,,,,,,,Q: How important did you find the following objectives when deciding to apply to this internship? - [Element],,,,,,,,,,
Company A,Exclusively remote/virtual,White or Caucasian,Women,,8,Passive,,Moderately well,Extremely well,Extremely well,Extremely well,Very well,Moderately well,Moderately well,Not at all,Slightly well,Moderately well,Very well,,Slightly important,Moderately important,Extremely important,Moderately important,Very important,Moderately important,Moderately important,Not at all important,Moderately important,Moderately important,Moderately important
Company A,Exclusively remote/virtual,"Hispanic or Latinx,White or Caucasian",Men,,10,Promoter,,Extremely well,Very well,Very well,Very well,Extremely well,Very well,Very well,Very well,Very well,Extremely well,Very well,,Slightly important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,10,Promoter,,Moderately well,Extremely well,Extremely well,Very well,Extremely well,Extremely well,Extremely well,Moderately well,Very well,Extremely well,Moderately well,,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Slightly important,Very important,Very important,Moderately important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,10,Promoter,,Very well,Extremely well,Very well,Extremely well,Extremely well,Moderately well,Very well,Moderately well,Very well,Extremely well,Very well,,Moderately important,Very important,Very important,Moderately important,Extremely important,Very important,Extremely important,Not at all important,Moderately important,Extremely important,Moderately important
Company A,Exclusively remote/virtual,East Asian,Men,,9,Promoter,,Very well,Extremely well,Very well,Very well,Very well,Moderately well,Very well,Slightly well,Very well,Very well,Moderately well,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,9,Promoter,,Moderately well,Very well,Very well,Very well,Very well,Very well,Very well,Slightly well,Moderately well,Very well,Slightly well,,Moderately important,Very important,Extremely important,Very important,Extremely important,Extremely important,Very important,Slightly important,Very important,Extremely important,Slightly important
Company A,Exclusively remote/virtual,East Asian,Men,,7,Passive,,Moderately well,Very well,Moderately well,Moderately well,Very well,Moderately well,Moderately well,Moderately well,Moderately well,Very well,Moderately well,,Moderately important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Not at all important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,10,Promoter,,Very well,Extremely well,Extremely well,Extremely well,Very well,Extremely well,Extremely well,Moderately well,Very well,Very well,Very well,,Very important,Very important,Slightly important,Very important,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,10,Promoter,,Very well,Extremely well,Extremely well,Very well,Very well,Extremely well,Moderately well,Slightly well,Extremely well,Extremely well,Moderately well,,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,9,Promoter,,Moderately well,Very well,Very well,Extremely well,Very well,Extremely well,Moderately well,Slightly well,Slightly well,Very well,Moderately well,,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Moderately important,Moderately important,Slightly important,Very important,Moderately important
Company A,Exclusively remote/virtual,East Asian,Women,,6,Detractor,,Moderately well,Extremely well,Extremely well,Extremely well,Very well,Very well,Moderately well,Not at all,Moderately well,Very well,Moderately well,,Very important,Extremely important,Very important,Very important,Moderately important,Very important,Extremely important,Not at all important,Slightly important,Slightly important,Moderately important
Company A,Exclusively remote/virtual,White or Caucasian,Women,,10,Promoter,,Moderately well,Extremely well,Very well,Extremely well,Extremely well,Very well,Extremely well,Not at all,Very well,Extremely well,Extremely well,,Slightly important,Extremely important,Moderately important,Extremely important,Very important,Moderately important,Moderately important,Not at all important,Not at all important,Not at all important,Moderately important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,10,Promoter,,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Slightly well,Extremely well,Extremely well,Moderately well,,Not at all important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important
Company A,Exclusively remote/virtual,Prefer not to say,Prefer not to say,,7,Passive,,Moderately well,Moderately well,Very well,Very well,Slightly well,Slightly well,Moderately well,Slightly well,Slightly well,Slightly well,Not at all,,Moderately important,Moderately important,Moderately important,Slightly important,Extremely important,Moderately important,Extremely important,Moderately important,Very important,Moderately important,Not at all important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,10,Promoter,,Moderately well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Very well,Moderately well,Very well,Extremely well,Extremely well,,Moderately important,Moderately important,Extremely important,Slightly important,Extremely important,Moderately important,Moderately important,Slightly important,Moderately important,Very important,Extremely important
Company A,Exclusively remote/virtual,Black or African American,Non-binary or gender non-conforming,,5,Detractor,,Moderately well,Very well,Moderately well,Moderately well,Moderately well,Moderately well,Very well,Not at all,Slightly well,Slightly well,Slightly well,,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important,Very important,Moderately important,Moderately important
Company A,Exclusively remote/virtual,South Asian,Men,,7,Passive,,Very well,Extremely well,Extremely well,Very well,Extremely well,Extremely well,Extremely well,Slightly well,Moderately well,Extremely well,Very well,,Moderately important,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,Moderately important,Very important,Very important,Very important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,8,Passive,,Extremely well,Extremely well,Very well,Moderately well,Very well,Slightly well,Very well,Slightly well,Very well,Very well,Slightly well,,Very important,Moderately important,Very important,Slightly important,Very important,Not at all important,Very important,Not at all important,Not at all important,Slightly important,Slightly important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,9,Promoter,,Slightly well,Moderately well,Moderately well,Moderately well,Slightly well,Moderately well,Moderately well,Not at all,Moderately well,Moderately well,Very well,,Slightly important,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,Not at all important,Very important,Moderately important,Extremely important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,7,Passive,,Moderately well,Extremely well,Moderately well,Very well,Slightly well,Very well,Moderately well,Moderately well,Slightly well,Very well,Moderately well,,Very important,Extremely important,Moderately important,Moderately important,Very important,Extremely important,Very important,Moderately important,Moderately important,Moderately important,Very important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,10,Promoter,,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Not at all,Extremely well,Extremely well,Extremely well,,Moderately important,Extremely important,Very important,Moderately important,Extremely important,Moderately important,Extremely important,Not at all important,Slightly important,Very important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",Southeast Asian,Men,,9,Promoter,,Very well,Extremely well,Extremely well,Very well,Extremely well,Very well,Extremely well,Moderately well,Extremely well,Extremely well,Extremely well,,Slightly important,Very important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,10,Promoter,,Very well,Very well,Extremely well,Extremely well,Very well,Very well,Moderately well,Very well,Very well,Moderately well,Very well,,Slightly important,Very important,Very important,Extremely important,Extremely important,Very important,Moderately important,Moderately important,Very important,Very important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,7,Passive,,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Moderately well,,Very important,Very important,Very important,Moderately important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Moderately important
Company A,Exclusively remote/virtual,Hispanic or Latinx,Men,,10,Promoter,,Moderately well,Moderately well,Very well,Very well,Extremely well,Very well,Very well,Slightly well,Very well,Extremely well,Very well,,Moderately important,Moderately important,Very important,Very important,Extremely important,Very important,Very important,Slightly important,Extremely important,Very important,Very important
Company A,Exclusively remote/virtual,White or Caucasian,Women,,10,Promoter,,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Moderately well,Moderately well,Not at all,Slightly well,Extremely well,Moderately well,,Extremely important,Moderately important,Extremely important,Very important,Extremely important,Very important,Extremely important,Not at all important,Slightly important,Moderately important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,7,Passive,,Slightly well,Very well,Extremely well,Slightly well,Moderately well,Very well,Moderately well,Not at all,Slightly well,Not at all,Moderately well,,Slightly important,Extremely important,Very important,Slightly important,Extremely important,Very important,Moderately important,Not at all important,Slightly important,Slightly important,Very important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,10,Promoter,,Moderately well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Extremely well,Very well,Extremely well,Very well,Extremely well,,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Moderately important,Slightly important,Moderately important,Extremely important
Company A,Exclusively remote/virtual,White or Caucasian,Prefer not to say,,8,Passive,,Moderately well,Very well,Very well,Very well,Very well,Very well,Moderately well,Slightly well,Moderately well,Very well,Moderately well,,Very important,Very important,Very important,Moderately important,Very important,Slightly important,Moderately important,Moderately important,Slightly important,Moderately important,Moderately important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,9,Promoter,,Slightly well,Very well,Very well,Very well,Extremely well,Very well,Moderately well,Slightly well,Very well,Very well,Slightly well,,Slightly important,Extremely important,Very important,Very important,Extremely important,Extremely important,Moderately important,Moderately important,Extremely important,Very important,Moderately important
Company A,Exclusively remote/virtual,White or Caucasian,Women,,8,Passive,,Moderately well,Very well,Very well,Very well,Very well,Moderately well,Very well,Slightly well,Very well,Very well,Extremely well,,Very important,Very important,Extremely important,Moderately important,Very important,Very important,Very important,Slightly important,Very important,Very important,Very important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,9,Promoter,,Moderately well,Extremely well,Extremely well,Very well,Moderately well,Very well,Very well,Slightly well,Very well,Very well,Slightly well,,Slightly important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Slightly important,Extremely important,Very important,Slightly important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,10,Promoter,,Extremely well,Very well,Extremely well,Extremely well,Extremely well,Extremely well,Very well,Moderately well,Moderately well,Very well,Very well,,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Very important,Moderately important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,10,Promoter,,Very well,Extremely well,Extremely well,Extremely well,Extremely well,Very well,Very well,Moderately well,Moderately well,Extremely well,Very well,,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Extremely important,Extremely important
Company A,Exclusively remote/virtual,Black or African American,Men,,6,Detractor,,Moderately well,Extremely well,Very well,Very well,Slightly well,Slightly well,Slightly well,Not at all,Slightly well,Very well,Not at all,,Extremely important,Extremely important,Moderately important,Not at all important,Very important,Extremely important,Slightly important,Not at all important,Slightly important,Extremely important,Extremely important
Company A,Exclusively remote/virtual,White or Caucasian,Men,,8,Passive,,Slightly well,Very well,Very well,Very well,Very well,Slightly well,Moderately well,Not at all,Slightly well,Very well,Moderately well,,Slightly important,Extremely important,Very important,Very important,Very important,Very important,Very important,Slightly important,Moderately important,Very important,Moderately important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,10,Promoter,,Very well,Extremely well,Very well,Very well,Very well,Slightly well,Very well,Not at all,Slightly well,Moderately well,Not at all,,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Slightly important,Slightly important,Very important,Moderately important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Women,,9,Promoter,,Moderately well,Extremely well,Extremely well,Extremely well,Moderately well,Extremely well,Slightly well,Slightly well,Slightly well,Extremely well,Very well,,Very important,Very important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Not at all important,Slightly important,Extremely important,Extremely important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,5,Detractor,,Slightly well,Very well,Very well,Very well,Slightly well,Very well,Not at all,Very well,Very well,Very well,Moderately well,,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Extremely important,Moderately important,Moderately important,Extremely important,Slightly important
Company A,"Hybrid - partially remote, partially in-person",White or Caucasian,Men,,9,Promoter,,Very well,Extremely well,Very well,Very well,Very well,Very well,Moderately well,Very well,Extremely well,Very well,Very well,,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Moderately important,Extremely important,Very important,Extremely important
Company A,Exclusively remote/virtual,Southeast Asian,Men,,9,Promoter,,Moderately well,Very well,Very well,Very well,Very well,Moderately well,Very well,Slightly well,Moderately well,Very well,Slightly well,,Slightly important,Very important,Very important,Very important,Very important,Moderately important,Very important,Slightly important,Moderately important,Very important,Slightly important
